nursery_site,species,genus_species,volume,climate_region,origin,leaf_type,calliper300.mean,rcd.mean,height_m.mean,sizeindex.mean,calliper300.se,rcd.se,height_m.se,sizeindex.se,MAT,MAP
E,agonis_flexuosa,agonis_flexuosa,35,Western Australia,native,evergreen,18.57344444,25.74155556,1.422844444,26.60680344,0.595416878,0.725546012,0.035170177,1.157168198,18.45833333,760
E,callistemon_kingsparkspecial,callistemon_kingsparkspecial,100,Western Australia,native,evergreen,33.50725,50.01275,2.0926,70.69789625,1.102396819,1.134812498,0.074422103,4.069777905,18.45833333,760
E,pyrus_calleryana_chanticleer,pyrus_calleryana,100,Western Australia,non-native,deciduous,44.715,57.73325,2.38425,106.6818653,1.143775144,1.647165719,0.04217438,3.430059776,18.45833333,760
E,jacaranda_mimosifolia,jacaranda_mimosifolia,500,Western Australia,non-native,deciduous,104.3419807,131.0163492,4.1402,432.1935877,1.735883637,4.404424346,0.118322187,15.68945713,18.45833333,760
E,ulmus_parvifolia,ulmus_parvifolia,45,Western Australia,non-native,deciduous,21.92866667,29.48366667,2.059555556,45.22766467,0.261108815,0.347927863,0.023052587,0.846640428,18.45833333,760
E,agonis_flexuosa,agonis_flexuosa,500,Western Australia,native,evergreen,99.46625,112.62225,4.1669,415.0297893,1.684425245,1.578895911,0.068088097,11.01617261,18.45833333,760
E,callistemon_kingsparkspecial,callistemon_kingsparkspecial,35,Western Australia,native,evergreen,16.21660714,20.87892857,1.441785714,23.57658232,0.428513801,0.453217725,0.033304287,0.974634462,18.45833333,760
E,platanus_acerifolia,platanus_acerifolia,500,Western Australia,non-native,deciduous,84.95690862,95.90676871,5.378,458.8004267,2.599013275,3.183442283,0.122210948,20.2505618,18.45833333,760
E,agonis_flexuosa,agonis_flexuosa,100,Western Australia,native,evergreen,26.30175,36.0055,1.6571,43.6601045,0.635193534,0.861476387,0.03951588,1.5669552,18.45833333,760
E,magnolia_grandiflora_littlegem,magnolia_grandiflora,200,Western Australia,non-native,evergreen,85.58025,104.12775,2.748,235.6722185,1.828475727,1.774399063,0.184883391,17.08696259,18.45833333,760
E,jacaranda_mimosifolia,jacaranda_mimosifolia,35,Western Australia,non-native,deciduous,16.95551724,22.90827586,1.27162069,21.87855293,0.425799187,0.478807933,0.037103318,1.076562646,18.45833333,760
E,magnolia_grandiflora_littlegem,magnolia_grandiflora,45,Western Australia,non-native,evergreen,31.39277778,40.29555556,1.602666667,53.70112556,3.922382718,4.556518868,0.120543791,10.45172539,18.45833333,760
E,brachychiton_acerifolius,brachychiton_acerifolius,500,Western Australia,native,deciduous,148.2414613,165.7939779,4.061428571,604.2177358,5.611183966,5.218557472,0.207782723,42.28424607,18.45833333,760
E,lagerstroemia_indica_natchez,lagerstroemia_indica,200,Western Australia,non-native,deciduous,57.9225,68.09416667,3.049333333,176.555075,0.706496933,1.304713517,0.214613865,12.56900178,18.45833333,760
E,olea_europaea_mission,olea_europaea,100,Western Australia,non-native,evergreen,36.90522727,47.31272727,2.697863636,100.053767,0.948807892,0.857205311,0.080497541,4.480680075,18.45833333,760
E,olea_europaea_tolleysupright,olea_europaea,45,Western Australia,non-native,evergreen,33.10052632,46.08631579,1.631789474,54.24723211,0.916958478,1.19567146,0.048087066,2.395823177,18.45833333,760
E,olea_europaea_mission,olea_europaea,45,Western Australia,non-native,evergreen,26.30540541,36.50364865,2.453405405,65.16903595,0.667531825,0.717007007,0.045311724,2.417559864,18.45833333,760
E,melaleuca_rhaphiophylla,melaleuca_rhaphiophylla,35,Western Australia,native,evergreen,20.57535714,25.66428571,1.456285714,30.46305524,0.819177628,0.841415567,0.041684079,1.713196189,18.45833333,760
E,jacaranda_mimosifolia,jacaranda_mimosifolia,200,Western Australia,non-native,deciduous,34.88825,46.7405,2.3025,82.21669625,1.72182428,2.294997503,0.078326022,6.154515029,18.45833333,760
E,waterhousea_floribunda,waterhousea_floribunda,100,Western Australia,native,evergreen,27.92425,34.58225,1.78725,50.40815725,1.198042552,1.325217583,0.060828528,3.2082407,18.45833333,760
E,agonis_flexuosa,agonis_flexuosa,200,Western Australia,native,evergreen,42.37425,56.1165,2.4299,103.349865,1.50020991,2.062689963,0.067043423,5.089658479,18.45833333,760
E,platanus_acerifolia,platanus_acerifolia,45,Western Australia,non-native,deciduous,17.88677778,23.17522222,1.691911111,30.36090267,0.341922268,0.294314387,0.018992046,0.76169205,18.45833333,760
E,corymbia_maculata,corymbia_maculata,100,Western Australia,native,evergreen,42.52725,52.862,3.3758,144.4253463,1.068939432,1.349197929,0.096556899,6.466245316,18.45833333,760
E,magnolia_grandiflora_littlegem,magnolia_grandiflora,100,Western Australia,non-native,evergreen,44.23675,59.412,1.78235,79.3415965,1.191463677,2.185824588,0.045111224,3.482694682,18.45833333,760
E,eucalyptus_caesia,eucalyptus_caesia,35,Western Australia,native,evergreen,17.08388889,18.82177778,1.690533333,29.13750267,0.33642659,0.377416261,0.035274187,0.992024239,18.45833333,760
E,eucalyptus_sideroxylon,eucalyptus_sideroxylon,200,Western Australia,native,evergreen,98.77,117.175,3.822333333,378.0041717,1.60924154,4.725149028,0.146799561,20.7736113,18.45833333,760
E,melaleuca_rhaphiophylla,melaleuca_rhaphiophylla,100,Western Australia,native,evergreen,38.88725,46.38775,1.892,75.8585985,2.381090293,2.535436625,0.083085055,7.256372456,18.45833333,760
E,melaleuca_rhaphiophylla,melaleuca_rhaphiophylla,200,Western Australia,native,evergreen,73.90575,85.79825,2.491,184.7776588,4.641431172,4.453148166,0.074835926,13.48737981,18.45833333,760
E,corymbia_maculata,corymbia_maculata,200,Western Australia,native,evergreen,72.264375,87.833125,4.57775,331.9693063,4.099877115,3.892024003,0.086764408,22.70809329,18.45833333,760
E,platanus_acerifolia,platanus_acerifolia,200,Western Australia,non-native,deciduous,42.399,52.459,3.941266667,167.840212,1.048700806,1.42448146,0.165468842,9.09502615,18.45833333,760
E,lagerstroemia_indica_sioux,lagerstroemia_indica,100,Western Australia,non-native,deciduous,39.49225,43.05,2.6608,105.0874625,0.561493951,0.60319762,0.043657254,2.341870582,18.45833333,760
